City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,sanctuary point,-35.1114,150.629,19.3,77,100,1.07,AU,1712874239
270,port saint john's,-31.6229,29.5448,15.39,65,9,5.9,ZA,1712874471
271,maardu,59.4767,25.025,8.34,94,100,9.77,EE,1712874472
272,nemuro,43.3236,145.575,4.53,96,100,6.5,JP,1712874472
273,manta,-0.95,-80.7333,29.88,70,20,4.63,EC,1712874093
274,chadan,51.2833,91.5833,2.77,73,100,0.9,RU,1712874473
275,bodo,67.28,14.405,3.21,81,40,4.63,NO,1712874474
276,malpica,43.3228,-8.8105,17.77,73,100,1.46,ES,1712874474
277,bamboo flat,11.7,92.7167,26.96,81,7,2.19,IN,1712874475
278,zouerate,22.7187,-12.4521,31.78,7,0,5.39,MR,1712874186
279,zurrieq,35.8311,14.4742,15.73,88,0,4.63,MT,1712874476
280,longboat key,27.4125,-82.659,26.02,76,40,6.17,US,1712874220
281,bengkulu,-3.8004,102.2655,24.68,95,100,2.16,ID,1712874415
282,dededo village,13.5178,144.8391,27.9,79,20,6.17,GU,1712874478
283,naze,28.3667,129.4833,19.51,88,88,2.18,JP,1712874478
284,wurtulla,-26.7568,153.1256,22.39,89,47,1.79,AU,1712874479
285,kokpekty,48.75,82.4,1.29,83,100,6.41,KZ,1712874479
286,sittwe,20.15,92.9,25.23,60,0,2.63,MM,1712874340
287,corinto,37.9407,22.9573,20.68,54,79,3.66,GR,1712874481
288,zhangye,38.9342,100.4517,12.13,33,86,2.29,CN,1712874481
289,bikenibeu village,1.3673,173.1241,29.98,79,20,3.09,KI,1712874482
290,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1712874483
291,taulaga,-11.0553,-171.0883,29.93,74,33,4.08,AS,1712874484
292,puro,12.4841,123.3827,25.93,84,99,4.4,PH,1712874485
293,ilheus,-14.7889,-39.0494,27.9,83,75,2.57,BR,1712874485
294,pak phanang,8.3511,100.202,27.01,75,100,2.69,TH,1712874486
295,sisimiut,66.9395,-53.6735,-4.96,88,95,1.14,GL,1712874486
296,urengoy,65.9667,78.3667,-20.89,94,100,6.31,RU,1712874487
297,anloga,5.7947,0.8973,28.93,78,98,6.24,GH,1712874488
298,kirakira,-10.4544,161.9205,29.03,70,100,1.49,SB,1712874329
299,lautoka,-17.6167,177.4667,29.92,70,20,2.57,FJ,1712874489
300,saint-philippe,-21.3585,55.7679,25.77,85,54,2.13,RE,1712874489
301,lesnoy,57.6198,63.0784,5.75,80,100,5.95,RU,1712874490
302,fernandina beach,30.6697,-81.4626,27.2,49,0,9.77,US,1712874491
303,dallas,32.7668,-96.7836,23.92,31,0,8.75,US,1712874384
304,looe,50.3578,-4.4542,10.96,89,59,6.0,GB,1712874492
305,queenstown,-31.8976,26.8753,4.85,85,0,0.49,ZA,1712874492
306,rio grande,-32.035,-52.0986,20.06,61,100,6.77,BR,1712874224
307,concordia,-31.393,-58.0209,20.44,67,95,3.13,AR,1712874485
308,afif,23.9065,42.9172,22.7,19,25,1.91,SA,1712874494
309,manokwari,-0.8667,134.0833,26.37,79,94,1.07,ID,1712874495
310,carutapera,-1.195,-46.02,26.31,89,64,2.59,BR,1712874495
311,saint-francois,46.4154,3.9054,8.14,88,0,1.54,FR,1712873688
312,kurumkan,54.3,110.3,3.4,79,100,2.24,RU,1712874496
313,cavalaire-sur-mer,43.174,6.5272,15.66,60,15,1.75,FR,1712874497
314,gowurdak,37.8124,66.0466,18.16,73,100,3.76,TM,1712874497
315,utrik,11.2278,169.8474,26.66,75,96,9.3,MH,1712874490
316,moose jaw,50.4001,-105.5344,12.15,19,20,3.6,CA,1712874498
317,tortoli,39.9256,9.6572,12.9,62,0,3.6,IT,1712874499
318,melekeok village,7.4957,134.6367,27.31,83,75,2.06,PW,1712874499
319,aksu,41.1231,80.2644,15.08,21,61,2.8,CN,1712874500
320,turpan,42.9333,89.1667,18.22,25,0,2.58,CN,1712874486
321,istaravshan,39.9142,69.0033,14.03,70,100,1.73,TJ,1712874501
322,nejo,9.5,35.5,22.31,18,82,2.01,ET,1712874502
323,changtu,42.7788,124.0955,13.48,59,83,8.01,CN,1712874502
324,keflavik,64.0049,-22.5624,4.95,87,75,6.69,IS,1712874494
325,yuzawa,39.1667,140.5,11.3,77,100,1.59,JP,1712874503
326,itoman,26.1247,127.6694,21.16,90,40,1.54,JP,1712874300
327,igarka,67.4667,86.5833,-31.66,100,54,0.89,RU,1712874276
328,komotini,41.1228,25.3964,14.83,68,0,3.15,GR,1712874505
329,kalmunai,7.4167,81.8167,26.75,85,92,1.72,LK,1712874506
330,taltal,-25.4,-70.4833,19.09,77,72,2.36,CL,1712874506
331,abepura,-2.6333,140.5833,24.45,100,20,1.03,ID,1712874507
332,lexington,37.9887,-84.4777,19.02,92,100,9.77,US,1712874310
333,zuunmod,47.7069,106.9528,-6.43,63,58,2.76,MN,1712874508
334,la'ie,21.6477,-157.9253,26.98,78,100,5.81,US,1712874259
335,chakwal,32.9334,72.8585,18.88,64,12,1.46,PK,1712874509
336,ust'-ilimsk,58.0006,102.6619,-5.31,93,100,0.89,RU,1712874509
337,yulinshi,38.2906,109.7494,13.26,54,0,2.02,CN,1712874493
338,tacuarembo,-31.7333,-55.9833,17.65,68,72,5.06,UY,1712874266
339,bizerte,37.2744,9.8739,13.0,88,40,2.57,TN,1712874512
340,hilo,19.7297,-155.09,24.03,98,100,3.6,US,1712874507
341,vrangel',42.7297,133.0839,5.81,93,30,2.77,RU,1712874513
342,gaspe,48.8334,-64.4819,5.12,75,75,2.06,CA,1712874303
343,kikwit,-5.041,18.8162,25.72,75,100,0.54,CD,1712874514
344,strathmore,51.0501,-113.3852,13.67,28,100,5.66,CA,1712874514
345,beboto,8.2668,16.939,29.68,45,92,2.31,TD,1712874515
346,jiaojiang,28.6803,121.4428,16.35,97,100,1.53,CN,1712874516
347,rumbek,6.802,29.6912,31.35,28,35,1.42,SS,1712874516
348,barcelos,41.5388,-8.6151,16.08,81,100,2.16,PT,1712874322
349,bembereke,10.2283,2.6634,32.33,29,100,2.16,BJ,1712874517
350,hailar,49.2,119.7,5.34,87,100,3.29,CN,1712874248
351,guerrero negro,27.9769,-114.0611,23.91,39,66,5.16,MX,1712874513
352,plettenberg bay,-34.0527,23.3716,13.38,70,17,1.5,ZA,1712874314
353,yonggwang-up,40.0183,127.4547,10.75,67,0,2.08,KP,1712874519
354,darwin,-12.4611,130.8418,23.99,81,75,3.6,AU,1712873943
355,shubarshi,48.5872,57.1869,7.64,70,47,0.87,KZ,1712874520
356,acheng,45.5454,126.977,11.85,68,97,7.92,CN,1712874521
357,antofagasta,-23.65,-70.4,19.6,88,94,3.61,CL,1712874285
358,kirensk,57.7853,108.1119,-5.58,95,100,2.24,RU,1712874523
359,cosenza,39.31,16.2502,16.39,83,100,4.12,IT,1712874524
360,spanish wells,26.323,-81.7957,26.99,64,100,5.14,US,1712874525
361,lorengau,-2.0226,147.2712,27.2,80,100,1.39,PG,1712874526
362,ingeniero jacobacci,-41.3427,-69.5448,5.8,73,100,7.45,AR,1712874526
363,pogar,52.554,33.2591,9.85,61,31,2.82,RU,1712874527
364,dryden,49.7833,-92.7503,10.16,57,100,4.12,CA,1712874527
365,zakamensk,50.3741,103.2863,2.19,66,100,1.33,RU,1712874528
366,turbat,26.0023,63.044,26.64,50,11,1.51,PK,1712874528
